taxonID,type,description,source
1001,associations,"""galler of"":""Hypochaeris radicata L.""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall description"":""Vorliegende Wespe erzeugt längliche oder spindelförmige, seltener rundliche, meist mehr oder weniger gekrümrate Stengel-anschwellungen an Hypochoeris radicata L. Die grösseren unter diesen Anschwellungen sind 4 cm. lang und 0'7cm. dick; ihre-Aussenseite ist unbehaart und von derselben Farbe und Beschaffenheit wie der Stengel; inwendig sind sie markig, weiss, mit 10 — 12 runden oder ovalen, ziemlich regelmässig gereihten Larvenhöhlen, welche etwa um 2 mm. von einander entfernt sind. Sie haben also mit den an Hieraciicm- Arten so häufig vorkommenden Gallen von Aulax hieracii Beuch, grosse Aehnlichkeit, doch sind letztere stets dicker, ihre Zellen grösser, dicht aneinander liegend und mehrere Reihen bildend. Meist kommen diese Anschwellungen unterseits, seltener auch oberseits der gabeligen Verzweigung des Stengels vor; über ihnen ist der Trieb bald normal entwickelt, bald auch verkümmert""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall description"":""Conspicuous, curved, and somewhat spindle-shaped swelling along stem, usually apical of any forks in the stem and up to 40 mm long by 7 mm thick; gall texture, color, and pilosity similar to that of unaffected stem; polythalamous, with each larval chamber about 2 mm long and widely separated from other larval chambers""",translated from https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall location"":""stem""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall shape"":""fusiform""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall surface quality"":""similar to the surrounding stem tissue""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall structural quality"":""polythalamous""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall arrangement"":""solitary""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall size"":""up to 40 mm in length and up to 7 mm in thickness""",https://www.biodiversitylibrary.org/page/13988049
1001,morphology,"""gall color"":""similar to the surrounding stem tissue""",https://www.biodiversitylibrary.org/page/13988049
1003,associations,"""galler of"":""Taraxacum officinale F. H. Wigg.""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall description"":""Irregular, knotty-like, pithy swellings, occurring together and uniting and forming oblong, irregular galls along and surrounding the leaf-petiole of Taraxacum densleonis ; average length from one-quarter of an inch to fully two inches""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall location"":""leaf petiole""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall internal quality"":""pithy""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall shape"":""subelliptical to amorphus""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall structural quality"":""monothalamous""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall conspicuousness"":""conspicuous""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall size"":""6.35–50.8 mm""",https://doi.org/10.1155/1897/60546
1003,morphology,"""gall arrangement"":""clustered along midrib in a row or amorphous aggregate""",https://doi.org/10.1155/1897/60546
1005,associations,"""galler of"":""may produce galls on Silphium integrifolium Michx. but claim is unsubstantiated""",
1005,morphology,"""gall description"":""gall unknown""",
1006,associations,"""galler of"":""Chrysothamnus Nutt.""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall description"":""Polythalamous. White, densely covered with white felt-like substance. Elongated, rounded or club-shaped, enlargements of the terminal twigs of the branches of a species of Chrysothamnus (Bigelovia), measuring from 15 to 30 mm. in length and 12 to 20 mm. in diameter. Sometimes two or three galls are in a row on the same branch. Internally the gall is white and of a pithy substance.""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall location"":""branch""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall shape"":""globular to clavate""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall surface quality"":""felted""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall internal quality"":""pithy""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall structural quality"":""polythalamous""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall conspicuousness"":""conspicuous""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall arrangement"":""solitary or in groups of two to three galls""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall size"":""15–30 mm in length and 12–20 mm in diameter""",https://www.biodiversitylibrary.org/page/33455878
1006,morphology,"""gall color"":""white""",https://www.biodiversitylibrary.org/page/33455878
1008,associations,"""galler of"":""Silphium perfoliatum L.""",https://www.biodiversitylibrary.org/page/2844786
1008,morphology,"""gall description"":""Small (~3 mm in length), ellipsoid, and monothalamous, hidden in cambium and pith of flowering stems of Silphium [perfoliatum], not evident in external view... Intermediate in depth to other species in the complex.""",https://www.biodiversitylibrary.org/page/2844786
1008,morphology,"""gall location"":""cambium and pith of flowering stems""",https://www.biodiversitylibrary.org/page/2844786
1008,morphology,"""gall shape"":""subelliptical""",https://www.biodiversitylibrary.org/page/2844786
1008,morphology,"""gall structural quality"":""monothalamous""",https://www.biodiversitylibrary.org/page/2844786
1008,morphology,"""gall conspicuousness"":""inconspicuous""",https://www.biodiversitylibrary.org/page/2844786
1009,associations,"""galler of"":""Silphium laciniatum L.""",https://iopn.library.illinois.edu/journals/inhs/article/view/193/154
1009,morphology,"""gall description"":""Individual galls are egg-shaped, from 4 to 5 mm in length, and occur in clusters on the receptacles of the flowers of Silphium laciniatum. Mr. C. A. Hart has collected a number of these gall-clusters and in description of them says: 'They always occur in well-ripened, healthy-looking flower heads, but do not show until the weather has removed the uninfested flowerets. They are always produced in the sterile flowers of the disk, towards the center.'""",https://iopn.library.illinois.edu/journals/inhs/article/view/193/154
1009,morphology,"""gall location"":""disk flower""",https://iopn.library.illinois.edu/journals/inhs/article/view/193/154
1009,morphology,"""gall shape"":""subelliptical""",https://iopn.library.illinois.edu/journals/inhs/article/view/193/154
1009,morphology,"""gall conspicuousness"":""inconspicuous early in the season, becoming conspicuous at the end of the season""",https://iopn.library.illinois.edu/journals/inhs/article/view/193/154
1009,morphology,"""gall arrangement"":""clustered""",https://iopn.library.illinois.edu/journals/inhs/article/view/193/154
1009,measurements,"""gall size"":""4–5 mm in length""",https://iopn.library.illinois.edu/journals/inhs/article/view/193/154
1010,associations,"""galler of"":""Lygodesmia juncea D. Don ex Hook""",https://www.biodiversitylibrary.org/page/32620520
1010,morphology,"""gall description"":""On the stems of this plant there often grows a profusion of round or oval pea-like galls, ranging in diameter from 1/4 to 1/2 an inch... Except the central cell, the rest of the gall consists of a dense whitish spongy matter, which ultimately becomes so hard as to be penetrated with some difficulty by the thumb-nail.""",https://www.biodiversitylibrary.org/page/32620520
1010,morphology,"""gall structural quality"":""monothalamous""",https://www.biodiversitylibrary.org/page/32620520
1010,morphology,"""gall measurement"":""6.35–12.7 mm in diameter""",https://www.biodiversitylibrary.org/page/32620520
1010,morphology,"""gall internal quality"":""pithy""",https://www.biodiversitylibrary.org/page/32620520
1010,morphology,"""gall shape"":""subspherical""",https://www.biodiversitylibrary.org/page/32620520
1010,morphology,"""gall location"":""stem""",https://www.biodiversitylibrary.org/page/32620520
1013,associations,"""galler of"":""Silphium terebinthinaceum Jacq.""",https://www.biodiversitylibrary.org/page/2844786
1013,morphology,"""gall location"":""cambium and pith of flowering stems""",https://www.biodiversitylibrary.org/page/2844786
1013,morphology,"""gall measurement"":""Around 3 mm in length""",https://www.biodiversitylibrary.org/page/2844786
1013,morphology,"""gall shape"":""subelliptical""",https://www.biodiversitylibrary.org/page/2844786
1013,morphology,"""gall structural quality"":""monothalamous""",https://www.biodiversitylibrary.org/page/2844786
1013,morphology,"""gall conspicuousness"":""inconspicuous""",https://www.biodiversitylibrary.org/page/2844786
1013,morphology,"""gall description"":""Small (~3 mm in length), ellipsoid, and monothalamous, hidden in cambium and pith of flowering stems of Silphium [terebinthinaceum], not evident in external view... Significantly closer to the stem surface than other species in the complex.""",https://www.biodiversitylibrary.org/page/2844786
1014,morphology,"""gall description"":""an irregular stem-swelling. Internally of a dense whitish spongy substance. Central larval chamger is divided into several areas. Polythalamous. Diameter 10–20 mm. Length 20–30 mm.""",https://hdl.handle.net/2027/mdp.39015068533523
1014,associations,"""galler of"":""Microseris D.Don""",https://hdl.handle.net/2027/mdp.39015068533523
1014,associations,"""gall location"":""stem""",https://hdl.handle.net/2027/mdp.39015068533523
1014,morphology,"""gall internal quality"":""pithy""",https://hdl.handle.net/2027/mdp.39015068533523
1014,morphology,"""gall structural quality"":""polythalamous""",https://hdl.handle.net/2027/mdp.39015068533523
1014,morphology,"""gall size"":""10–20 mm in diameter and 20–30 mm in length""",https://hdl.handle.net/2027/mdp.39015068533523
1014,morphology,"""gall shape"":""amorphus""",https://hdl.handle.net/2027/mdp.39015068533523
1016,morphology,"""gall description"":""There was not the slightest indication of a gall upon the stem... pithy""",https://doi.org/10.21900/j.inhs.v3.193
1016,morphology,"""gall internal quality"":""pithy""",https://doi.org/10.21900/j.inhs.v3.193
1016,morphology,"""gall location"":""stem""",https://doi.org/10.21900/j.inhs.v3.193
1016,morphology,"""gall conspicuousness"":""inconspicuous""",https://doi.org/10.21900/j.inhs.v3.193
1016,associations,"""galler of"":""Silphium laciniatum L. and possibly other Silphium""",https://doi.org/10.21900/j.inhs.v3.193
1018,associations,"""galler of"":""Silphium laciniatum L.""",https://doi.org/10.21900/j.inhs.v3.193
1018,morphology,"""gall location"":""stem""",https://doi.org/10.21900/j.inhs.v3.193
1018,morphology,"""gall description"":""There was not the slightest indication of a gall upon the stem... pithy""",https://doi.org/10.21900/j.inhs.v3.193
