taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,source,occurrenceRemarks
1001,ISO3166-2:CA-BC,British Columbia,CA,present,naturalised,https://www.inaturalist.org/observations?place_id=6712&taxon_id=129082,iNaturalist records accessed and verified 2020-12-09
1001,ISO3166-2:US-CA,California,US,present,naturalised,https://www.inaturalist.org/observations?place_id=1&taxon_id=129082,iNaturalist records accessed and verified 2020-12-09
1001,ISO3166-2:US-OR,Oregon,US,present,naturalised,https://www.inaturalist.org/observations?place_id=1&taxon_id=129082,iNaturalist records accessed and verified 2020-12-09
1003,ISO3166-2:US-MN,Minnesota,US,present,unknown,https://www.biodiversitylibrary.org/page/12122988,
1003,ISO3166-2:US-PA,Pennsylvania,US,present,unknown,"John Tooker, personal observation",
1005,ISO3166-2:US-IL,Illinois,US,present,native,https://archive.org/details/catalogofhymenop01krom/page/1066/mode/2up,
1006,ISO3166-2:US-AZ,Arizona,US,present,native,https://archive.org/details/catalogofhymenop01krom/page/1066/mode/2up,
1008,ISO3166-2:US-IL,Illinois,US,present,native,https://www.inaturalist.org/observations?place_id=1&taxon_id=1150043,iNaturalist records accessed and verified 2020-12-09
1009,ISO3166-2:US-IL,Illinois,US,present,native,https://www.inaturalist.org/observations?taxon_id=1149670,iNaturalist records accessed and verified 2020-12-09
1009,ISO3166-2:US-KS,Kansas,US,present,native,https://doi.org/10.4289/0013-8797.119.4.660,
1009,ISO3166-2:US-WI,Wisconsin,US,present,native,"Henderson, R. & Sauer, S.B. (2010). Silphium gall wasps: little-known prairie specialists. In 22nd North American Prairie Conference. Cedar Falls, IA https://doczz.net/doc/4948752/silphium-gall-wasps--little-known-prairie",
1010,ISO3166-2:CA-AB,Alberta,CA,present,native,https://www.inaturalist.org/taxa/556414-Antistrophus-lygodesmiaepisum,iNaturalist records accessed and verified 2020-12-10
1010,ISO3166-2:CA-SK,Saskatchewan,CA,present,native,https://www.inaturalist.org/taxa/556414-Antistrophus-lygodesmiaepisum,iNaturalist records accessed and verified 2020-12-10
1010,ISO3166-2:US-CO,Colorado,US,present,native,https://www.inaturalist.org/taxa/556414-Antistrophus-lygodesmiaepisum,iNaturalist records accessed and verified 2020-12-10
1010,ISO3166-2:US-IA,Iowa,US,present,native,https://www.inaturalist.org/taxa/556414-Antistrophus-lygodesmiaepisum,iNaturalist records accessed and verified 2020-12-10
1010,ISO3166-2:US-KS,Kansas,US,present,native,https://www.inaturalist.org/taxa/556414-Antistrophus-lygodesmiaepisum,iNaturalist records accessed and verified 2020-12-10
1010,ISO3166-2:US-NE,Nebraska,US,present,native,https://www.inaturalist.org/taxa/556414-Antistrophus-lygodesmiaepisum,iNaturalist records accessed and verified 2020-12-10
1010,ISO3166-2:US-TX,Texas,US,present,native,https://www.inaturalist.org/taxa/556414-Antistrophus-lygodesmiaepisum,iNaturalist records accessed and verified 2020-12-10
1013,ISO3166-2:US-IL,Illinois,US,present,native,https://www.inaturalist.org/taxa/1150044-Antistrophus,iNaturalist records accessed and verified 2020-12-10
1014,ISO3166-2:US-CA,California,US,present,native,https://hdl.handle.net/2027/mdp.39015068533523,
1016,ISO3166-2:US-IL,Illinois,US,present,native,https://doi.org/10.21900/j.inhs.v3.193,
1018,ISO3166-2:US-IL,Illinois,US,present,native,https://doi.org/10.21900/j.inhs.v3.193,
1018,ISO3166-2:US-IL,Illinois,US,present,native,https://www.inaturalist.org/taxa/1150042-Antistrophus-rufus,iNaturalist records accessed and verified 2020-12-10
1019,ISO3166-2:US-IL,Illinois,US,present,native,https://www.inaturalist.org/taxa/1025343-Antistrophus-silphii,iNaturalist records accessed and verified 2020-12-10
1019,ISO3166-2:US-WI,Wisconsin,US,present,native,https://www.inaturalist.org/taxa/1025343-Antistrophus-silphii,iNaturalist records accessed and verified 2020-12-10
1021,ISO3166-2:CA-QC,Québec,CA,present,native,http://hdl.handle.net/2246/1148,
1022,ISO3166-2:US-CO,Colorado,US,present,introduced,"Barosh, T and Ode, PJ (2018) Two galling insects: Competition and facilitation across spatial scales. Entomological Society of America Annual Meeting, 11-14 November 2018. Vancouver, BC, Canada. https://esa.confex.com/esa/2018/meetingapp.cgi/Paper/138385",
1022,ISO3166-2:US-MT,Montana,US,present,introduced,"Barosh, T and Ode, PJ (2018) Two galling insects: Competition and facilitation across spatial scales. Entomological Society of America Annual Meeting, 11-14 November 2018. Vancouver, BC, Canada. https://esa.confex.com/esa/2018/meetingapp.cgi/Paper/138385",
1022,ISO3166-2:US-WY,Wyoming,US,present,introduced,"Barosh, T and Ode, PJ (2018) Two galling insects: Competition and facilitation across spatial scales. Entomological Society of America Annual Meeting, 11-14 November 2018. Vancouver, BC, Canada. https://esa.confex.com/esa/2018/meetingapp.cgi/Paper/138385",
1023,ISO3166-2:US-MO,Missouri,US,possibly extant,native,https://doi.org/10.5479/si.00963801.19-1102.113,not seen since its description; gall was not observed by Ashmead
1025,ISO3166-2:US-MA,Massachusetts,US,present,native,http://hdl.handle.net/2246/1148,
1025,ISO3166-2:US-NE,Nebraska,US,present,native,https://digitalcommons.unl.edu/tnas/444/,
1026,ISO3166-2:CA-ON,Ontario,CA,present,native,https://doi.org/10.2307/25076487,
1026,ISO3166-2:US-CT,Connecticut,US,present,native,http://hdl.handle.net/2246/663,
1026,ISO3166-2:US-DC,District of Columbia,US,present,native,https://repository.si.edu/handle/10088/13445,
1026,ISO3166-2:US-DC,District of Columbia,US,present,native,http://hdl.handle.net/2246/663,
1026,ISO3166-2:US-IL,Illinois,US,present,native,https://www.gbif.org/occurrence/search?taxon_key=1309681,
1026,ISO3166-2:US-IL,Illinois,US,present,native,http://hdl.handle.net/2246/663,
1026,ISO3166-2:US-MA,Massachusetts,US,present,native,http://hdl.handle.net/2246/663,
1026,ISO3166-2:US-MO,Missouri,US,present,native,https://repository.si.edu/handle/10088/13445,
1026,ISO3166-2:US-NC,North Carolina,US,present,native,http://hdl.handle.net/2246/663,
1026,ISO3166-2:US-NJ,New Jersey,US,present,native,http://hdl.handle.net/2246/663,
1026,ISO3166-2:US-NY,New York,US,present,native,http://hdl.handle.net/2246/663,
1026,ISO3166-2:US-OK,Oklahoma,US,present,native,https://bugguide.net/node/view/1348363/bgimage,
1031,ISO3166-2:CA-ON,Ontario,CA,present,native,https://www.biodiversitylibrary.org/page/2162387,
1031,ISO3166-2:US-MA,Massachusetts,US,present,native,http://hdl.handle.net/2246/663,
1031,ISO3166-2:US-NJ,New Jersey,US,present,native,http://hdl.handle.net/2246/663,
1031,ISO3166-2:US-NY,New York,US,present,native,http://hdl.handle.net/2246/663,
1033,ISO3166-2:US-DC,District of Columbia,US,present,native,https://archive.org/details/catalogofhymenop01krom/page/1068/mode/2up,
1033,ISO3166-2:US-IL,Illinois,US,present,native,https://archive.org/details/catalogofhymenop01krom/page/1068/mode/2up,
1033,ISO3166-2:US-KS,Kansas,US,present,native,https://www.inaturalist.org/observations?taxon_id=1119372,iNaturalist records accessed and verified 2020-12-10
1033,ISO3166-2:US-NY,New York,US,present,native,https://www.jstor.org/stable/25004384,
1033,ISO3166-2:US-OH,Ohio,US,present,native,https://www.inaturalist.org/observations?taxon_id=1119372,iNaturalist records accessed and verified 2020-12-10
1033,ISO3166-2:US-PA,Pennsylvania,US,present,native,https://archive.org/details/catalogofhymenop01krom/page/1068/mode/2up,
1033,ISO3166-2:US-VA,Virginia,US,present,native,https://archive.org/details/catalogofhymenop01krom/page/1068/mode/2up,
1035,ISO3166-2:US-MA,Massachusetts,US,present,native,https://www.inaturalist.org/taxa/1118780-Aulacidea-tumida,iNaturalist records accessed and verified 2020-12-10
1035,ISO3166-2:US-NH,New Hampshire,US,present,native,https://www.inaturalist.org/taxa/1118780-Aulacidea-tumida,iNaturalist records accessed and verified 2020-12-10
1035,ISO3166-2:US-VA,Virginia,US,present,native,http://hdl.handle.net/2246/663,
1039,ISO3166-2:CA-NB,New Brunswick,CA,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:CA-NS,Nova Scotia,CA,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:CA-ON,Ontario,CA,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-CT,Connecticut,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-DE,Delaware,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-IA,Iowa,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-IL,Illinois,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-IN,Indiana,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-KS,Kansas,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-MA,Massachusetts,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-MD,Maryland,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
1039,ISO3166-2:US-MI,Michigan,US,present,naturalised,https://www.inaturalist.org/observations?taxon_id=61941,iNaturalist records accessed and verified 2020-12-10
