identifier,bibliographicCitation
https://www.jstor.org/stable/25076461,"Ashmead, W.H. (1885). On the cynipidous galls of Florida, with descriptions of new species. Transactions of the American Entomological Society, 12: v-ix. https://www.jstor.org/stable/25076461"
https://doi.org/10.2307/25076460,"Ashmead, W.H. (1885). A bibliographical and synonymical catalogue of the North American Cynipidae, with description of new species. Transactions of the American Entomological Society, 12, 291–304. https://doi.org/10.2307/25076460"
https://doi.org/10.2307/25076487,"Ashmead, W.H. (1887). On the cynipidous galls of Florida, with descriptions of new species and synopses of the described species of North America. Transactions of the American Entomological Society, 14, 125-158. https://doi.org/10.2307/25076487"
https://books.google.com/books?id=VhApAAAAYAAJ,"Ashmead, W.H. (1890). On the Hymenoptera of Colorado: descriptions of new species, notes, and a list of the species found in the state. Bulletin No. 1. Colorado Biological Association, x1, 1–47. https://books.google.com/books?id=VhApAAAAYAAJ"
https://doi.org/10.5479/si.00963801.19-1102.113,"Ashmead, W.H. (1896). Descriptions of new cynipidous galls and gall-wasps in the United States National Museum. Proceedings of the United States National Museum, 19(1102), 113-136. https://doi.org/10.5479/si.00963801.19-1102.113"
https://www.biodiversitylibrary.org/page/7509063,"Ashmead, W.H. (1896). Descriptions of new parasitic Hymenoptera. Transactions of the American Entomological Society, 23(2), 179–234. https://www.biodiversitylibrary.org/page/7509063"
https://doi.org/10.1155/1897/60546,"Ashmead, W.H. (1897). Description of some new genera in the family Cynipidae. Psyche, 8(253), 67-69. https://doi.org/10.1155/1897/60546"
https://www.biodiversitylibrary.org/page/3745772,"Bassett, H.F. (1864). Descriptions of several new species of Cynips and a new species of Diastrophus. Proceedings of the Entomological Society of Philadelphia, 3: 679-691. https://www.biodiversitylibrary.org/page/3745772"
https://doi.org/10.4039/ent298-7,"Bassett, H.F. (1870). Galls found on plants of the genus Rubus. The Canadian Entomologist, 2(7), 98-100. https://doi.org/10.4039/ent298-7"
https://doi.org/10.4039/ent1374-4,"Bassett, H.F. (1881). New Cynipidae. The Canadian Entomologist, 13(4), 74-79. https://doi.org/10.4039/ent1374-4"
https://www.biodiversitylibrary.org/page/7490889,"Bassett, H.F. (1890). New species of North American Cynipidae. Transactions of the American Entomological Society, 17(1), 59-92. https://www.biodiversitylibrary.org/page/7490889"
https://www.biodiversitylibrary.org/page/7522373,"Bassett, H.F. (1899). New species of North American Cynipidae. Transactions of the American Entomological Society, 26(4), 310-336. https://www.biodiversitylibrary.org/page/7522373"
http://hdl.handle.net/2246/585,"Beutenmüller, W. (1892). Catalogue of gall-producing insects found within fifty miles of New York City, with descriptions of their galls, and of some new species. Bulletin of the American Museum of Natural History, 4, 245-278. http://hdl.handle.net/2246/585"
http://digitallibrary.amnh.org/handle/2246/7155,"Beutenmüller, W. (1904). The Insect-galls of the Vicinity of New York City: A Guide Leaflet to the Collection in the American Museum of Natural History, New York. American Museum Journal, 4, 1-38. http://digitallibrary.amnh.org/handle/2246/7155"
http://hdl.handle.net/2246/1424,"Beutenmüller, W. (1907). The North American species of Rhodites and their galls. Bulletin of the American Museum of Natural History, 23, 629–651. http://hdl.handle.net/2246/1424"
https://www.biodiversitylibrary.org/page/33455878,"Beutenmüller, W. (1908). A new cynipid from Arizona. Journal of the New York Entomological Society, 16, 45. https://www.biodiversitylibrary.org/page/33455878"
https://www.biodiversitylibrary.org/page/2591401,"Beutenmüller, W. (1909). Descriptions of new Cynipidae. Entomological News, 10, 247. https://www.biodiversitylibrary.org/page/2591401"
http://hdl.handle.net/2246/657,"Beutenmüller, W. (1910). The North American species of Aylax and their galls. Bulletin of the American Museum of Natural History, 28, 137–144. http://hdl.handle.net/2246/657"
http://hdl.handle.net/2246/1964,"Beutenmüller, W. (1909). North American species of Diastrophus and their galls. Bulletin of the American Museum of Natural History, 26, 135-145. http://hdl.handle.net/2246/1964"
https://www.biodiversitylibrary.org/page/9141062,"Beutenmüller, W. (1913). A new species of Rhodites From California. Insecutor Inscitiae Mentruus, 1, 93-94. https://www.biodiversitylibrary.org/page/9141062"
