taxonID,taxonomicStatus,scientificName,parentNameUsageID,parentNameUsage,acceptedNameUsageID,acceptedNameUsage,kingdom,class,order,family,tribe,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,vernacularName,namePublishedIn,namePublishedInID,modified,bibliographicCitation,references,taxonRemarks
1001,valid,"Phanacis hypochoeridis (Kieffer, 1887)",,"Phanacis Förster, 1860",,"Phanacis hypochoeridis (Kieffer, 1887)",Animalia,Insecta,Hymenoptera,Cynipidae,Phanacidini,Phanacis,hypochoeridis,,species,"(Kieffer, 1887)",cat's ear gall wasp,"Kieffer, Jean-Jacques. 1887 Aulax hypochoeridis n. sp. Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien 37: 205-206.",https://www.biodiversitylibrary.org/page/13988048,,,,
1002,invalid,"Aulax hypochaeridis Kieffer, 1887",,,,"Phanacis hypochoeridis (Kieffer, 1887)",,,,,,,,,,,,,,,,,
1003,valid,"Phanacis taraxaci (Ashmead, 1897)",,"Phanacis Förster, 1860",,"Phanacis taraxaci (Ashmead, 1897)",Animalia,Insecta,Hymenoptera,Cynipidae,Phanacidini,Phanacis,taraxaci,,species,"(Ashmead, 1897)",dandelion gall wasp,"Ashmead, W. H. (1897). Description of some new genera in the family Cynipidae. Psyche, 8(253), 67-69. https://www.biodiversitylibrary.org/page/12122988",https://doi.org/10.1155/1897/60546,,,,
1004,invalid,"Gillettea taraxaci Ashmead, 1897",,,,"Phanacis taraxaci (Ashmead, 1897)",,,,,,,,,,,,,,,,,
1005,valid,"Antistrophus bicolor Gillette, 1891",,"Antistrophus Walsh, 1870",,"Antistrophus bicolor Gillette, 1891",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,bicolor,,species,"Gillette, 1891",rosinweed gall wasp,"Gillette, C. P. (1891). Descriptions of new Cynipidae in the collection of the Illinois State Laboratory of Natural History. Illinois Natural History Survey Bulletin, 3(11), 191-205. https://doi.org/10.21900/j.inhs.v3.193",https://doi.org/10.21900/j.inhs.v3.193,,,,
1006,valid,"Antistrophus chrysothamni (Beutenmüller, 1908)",,"Antistrophus Walsh, 1870",,"Antistrophus chrysothamni (Beutenmüller, 1908)",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,chrysothamni,,species,"(Beutenmüller, 1908)",rabbitbrush gall wasp,"Beutenmüller, W. (1908). A new cynipid from Arizona. Journal of the New York Entomological Society 16, 45. https://www.biodiversitylibrary.org/page/33455878",https://www.biodiversitylibrary.org/page/33455878,,,,
1007,invalid,"Aulax chrysothamni Beutenmüller, 1908",,,,"Antistrophus chrysothamni (Beutenmüller, 1908)",,,,,,,,,,,,,,,,,
1008,valid,"Antistrophus jeanae Tooker & Hanks, 2004",,"Antistrophus Walsh, 1870",,"Antistrophus jeanae Tooker & Hanks, 2004",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,jeanae,,species,"Tooker & Hanks, 2004",Jean's stem gall wasp; cup plant stem gall wasp,"Tooker, J. F., Deans, A. R., & Hanks, L. M. (2004). Description of the Antistrophus rufus (Hymenoptera: Cynipidae) species complex, including two new species. Journal of Hymenoptera Research, 13, 125-133. https://www.biodiversitylibrary.org/page/2844786",https://www.biodiversitylibrary.org/page/2844786,,,,
1009,valid,"Antistrophus laciniatus Gillette, 1891",,"Antistrophus Walsh, 1870",,"Antistrophus laciniatus Gillette, 1891",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,laciniatus,,species,"Gillette, 1891",compass plant flower gall wasp,"Gillette, C. P. (1891). Descriptions of new Cynipidae in the collection of the Illinois State Laboratory of Natural History. Illinois Natural History Survey Bulletin, 3(11), 191-205. https://doi.org/10.21900/j.inhs.v3.193",https://doi.org/10.21900/j.inhs.v3.193,,,,
1010,valid,"Antistrophus lygodesmiaepisum Walsh, 1869",,"Antistrophus Walsh, 1870",,"Antistrophus lygodesmiaepisum Walsh, 1869",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,lygodesmiaepisum,,species,"Walsh, 1869",rush skeletonplant pea gall wasp,"Walsh, B. D. (1869). Galls and their architects. The American Entomologist, 1(6). https://www.biodiversitylibrary.org/page/32620520",https://www.biodiversitylibrary.org/page/32620520,,,,
1011,invalid,"Antistrophus pisum Ashmead, 1885",,,,"Antistrophus lygodesmiaepisum Walsh, 1869",,,,,,,,,,,,,,,,,
1012,invalid,"Ascepiadiphila stephanotidis Ashmead, 1897",,,,"Antistrophus lygodesmiaepisum Walsh, 1869",,,,,,,,,,,,,,,,,
1013,valid,"Antistrophus meganae Tooker & Hanks, 2004",,"Antistrophus Walsh, 1870",,"Antistrophus meganae Tooker & Hanks, 2004",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,meganae,,species,"Tooker & Hanks, 2004",prairie dock stem gall wasp,"Tooker, J. F., Deans, A. R., & Hanks, L. M. (2004). Description of the Antistrophus rufus (Hymenoptera: Cynipidae) species complex, including two new species. Journal of Hymenoptera Research, 13, 125-133. https://www.biodiversitylibrary.org/page/2844786",https://www.biodiversitylibrary.org/page/2844786,,,,
1014,valid,"Antistrophus microseris (McCracken & Egbert, 1922)",,"Antistrophus Walsh, 1870",,"Antistrophus microseris (McCracken & Egbert, 1922)",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,microseris,,species,"(McCracken & Egbert, 1922)",silverpuff gall wasp,"McCracken, M. I., & Egbert, D. B. (1922). California gall-making Cynipidae: With descriptions of new species (Vol. 3, No. 1-4). Stanford University Press. https://hdl.handle.net/2027/mdp.39015068533523",https://hdl.handle.net/2027/mdp.39015068533523,,,,
1015,invalid,"Aylax microseris McCracken & Egbert, 1922",,,,"Antistrophus microseris (McCracken & Egbert, 1922)",,,,,,,,,,,,,,,,,
1016,valid,"Antistrophus minor Gillette, 1891",,"Antistrophus Walsh, 1870",,"Antistrophus minor Gillette, 1891",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,minor,,species,"Gillette, 1891",small Silphium stem gall wasp,"Gillette, C. P. (1891). Descriptions of new Cynipidae in the collection of the Illinois State Laboratory of Natural History. Illinois Natural History Survey Bulletin, 3(11), 191-205. https://doi.org/10.21900/j.inhs.v3.193",https://doi.org/10.21900/j.inhs.v3.193,,,,
1017,invalid,"Aulax Gillettei Kieffer, 1902",,,,"Antistrophus minor Gillette, 1891",,,,,,,,,,,,,,,,,
1018,valid,"Antistrophus rufus Gillette, 1891",,"Antistrophus Walsh, 1870",,"Antistrophus rufus Gillette, 1891",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,rufus,,species,"Gillette, 1891",compass plant stem gall wasp,"Gillette, C. P. (1891). Descriptions of new Cynipidae in the collection of the Illinois State Laboratory of Natural History. Illinois Natural History Survey Bulletin, 3(11), 191-205. https://doi.org/10.21900/j.inhs.v3.193",https://doi.org/10.21900/j.inhs.v3.193,,,,
1019,valid,"Antistrophus silphii Gillette, 1891",,"Antistrophus Walsh, 1870",,"Antistrophus silphii Gillette, 1891",Animalia,Insecta,Hymenoptera,Cynipidae,Aulacideini,Antistrophus,silphii,,species,"Gillette, 1891",rosinweed club gall wasp,"Gillette, C. P. (1891). Descriptions of new Cynipidae in the collection of the Illinois State Laboratory of Natural History. Illinois Natural History Survey Bulletin, 3(11), 191-205. https://doi.org/10.21900/j.inhs.v3.193",https://doi.org/10.21900/j.inhs.v3.193,,,,
1020,invalid,"Antistrophus leavenworthi Bassett, 1900",,,,"Antistrophus silphii Gillette, 1891",,,,,,,,,,,,,,,,,
